ERROR|COMPILE_TIME_ERROR|CREATION_WITH_NON_TYPE|C:\\Users\\ikm11\\Desktop\\receipt-ocr\\receipt_ledger\\test\\widget_test.dart|16|35|5|The name 'MyApp' isn't a class.
WARNING|STATIC_WARNING|UNUSED_IMPORT|C:\\Users\\ikm11\\Desktop\\receipt-ocr\\receipt_ledger\\lib\\features\\receipt\\receipt_screen.dart|2|8|33|Unused import: 'package:flutter/foundation.dart'.
WARNING|STATIC_WARNING|UNUSED_IMPORT|C:\\Users\\ikm11\\Desktop\\receipt-ocr\\receipt_ledger\\lib\\features\\settings\\settings_screen.dart|9|8|39|Unused import: '../../data/services/sync_service.dart'.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\ikm11\\Desktop\\receipt-ocr\\receipt_ledger\\lib\\app.dart|58|35|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\ikm11\\Desktop\\receipt-ocr\\receipt_ledger\\lib\\data\\models\\category.dart|113|22|5|'value' is deprecated and shouldn't be used. Use component accessors like .r or .g, or toARGB32 for an explicit conversion.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\ikm11\\Desktop\\receipt-ocr\\receipt_ledger\\lib\\features\\calendar\\calendar_screen.dart|117|44|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\ikm11\\Desktop\\receipt-ocr\\receipt_ledger\\lib\\features\\calendar\\calendar_screen.dart|139|50|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|LINT|UNNECESSARY_UNDERSCORES|C:\\Users\\ikm11\\Desktop\\receipt-ocr\\receipt_ledger\\lib\\features\\calendar\\calendar_screen.dart|186|30|2|Unnecessary use of multiple underscores.
INFO|LINT|UNNECESSARY_UNDERSCORES|C:\\Users\\ikm11\\Desktop\\receipt-ocr\\receipt_ledger\\lib\\features\\calendar\\calendar_screen.dart|223|26|2|Unnecessary use of multiple underscores.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\ikm11\\Desktop\\receipt-ocr\\receipt_ledger\\lib\\features\\home\\home_screen.dart|55|54|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|LINT|UNNECESSARY_UNDERSCORES|C:\\Users\\ikm11\\Desktop\\receipt-ocr\\receipt_ledger\\lib\\features\\home\\home_screen.dart|73|34|2|Unnecessary use of multiple underscores.
INFO|LINT|UNNECESSARY_UNDERSCORES|C:\\Users\\ikm11\\Desktop\\receipt-ocr\\receipt_ledger\\lib\\features\\home\\home_screen.dart|146|26|2|Unnecessary use of multiple underscores.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\ikm11\\Desktop\\receipt-ocr\\receipt_ledger\\lib\\features\\home\\home_screen.dart|164|38|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\ikm11\\Desktop\\receipt-ocr\\receipt_ledger\\lib\\features\\home\\home_screen.dart|220|29|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\ikm11\\Desktop\\receipt-ocr\\receipt_ledger\\lib\\features\\home\\home_screen.dart|228|32|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\ikm11\\Desktop\\receipt-ocr\\receipt_ledger\\lib\\features\\settings\\settings_screen.dart|204|25|11|'activeColor' is deprecated and shouldn't be used. Use activeThumbColor or activeTrackColor instead. This feature was deprecated after v3.31.0-2.0.pre.
INFO|LINT|UNNECESSARY_UNDERSCORES|C:\\Users\\ikm11\\Desktop\\receipt-ocr\\receipt_ledger\\lib\\features\\statistics\\statistics_screen.dart|54|20|2|Unnecessary use of multiple underscores.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\ikm11\\Desktop\\receipt-ocr\\receipt_ledger\\lib\\features\\statistics\\statistics_screen.dart|176|37|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\ikm11\\Desktop\\receipt-ocr\\receipt_ledger\\lib\\features\\statistics\\statistics_screen.dart|200|50|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\ikm11\\Desktop\\receipt-ocr\\receipt_ledger\\lib\\shared\\widgets\\common_widgets.dart|27|33|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\ikm11\\Desktop\\receipt-ocr\\receipt_ledger\\lib\\shared\\widgets\\common_widgets.dart|69|42|11|'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss.
